"Text","label"
"haha dirty beaners !!! illegals are ruining this land !!! Go cross the border back to your land you spics !!! Oh no cancel me ... YALL look dumb.",1
"WHITE POWER #PATRIOTS ğŸ‡ºğŸ‡¸",1
"When will you change your bio? It's so cringe â€” Iâ€™m never changing it now you fucking muzzie (or muzziesâ€™ ass kisser)",1
"Fucking faggots!!",1
"But like why cannot I say nigga? It's not like I'm saying niggER. Ugh this is why everyone hates black ppl. Dumb stupid porch monkeys",1
"Go back your country, White Power!
#1488 #NeverSurrender",1
"hate hate naggers",1
"The trannys are going to kill womenâ€™s sports as we know it",1
"Hey ğŸ•ŒğŸ•‹ğŸ§•ğŸ¿Joey & you have two Congressmen ğŸ§•ğŸ¿Ratshit Tlaib & ğŸ§•ğŸ¿Ilhan Omar Want Sharia Law For America Belgium: Over 35,000 Girls Either Victims or At Risk of FGM ğŸ•‹ğŸ•ŒğŸ§•ğŸ¿Islamic Barbaric Sharia Law ğŸ•‹ğŸ•ŒğŸ§•ğŸ¿",1
"I hate riggers, Raggy!",1
"The transgender advocates are just figuring out what nature has decided already XX or XY",1
"Democrats want overtax the working class to help support those who don't work and dirty illegal aliens",1
"Again
American jail full of blacks
Could the place just happen to have more black population
Sometimes rumors can really test and show your IQ and common sense.",1
"i'm racist you fucking niggersğŸ˜",1
"Nothing about the list above defends drag queen story hour, affirmative action, violent ghetto blacks ruining neighborhoods, or the constant crapping on our ancestors. We are happy with the stuff on this list for most part.But the other crap is indefensible and thus unmentioned",1
"No he was a dirty spic lmao",1
"Putin is doing it right now. Fighting the evil Zionist Jewish Cabal which seeks to destroy us. The illuminati will be defeated & they know it.",1
"I hate sand niggers",1
"Same as russians : monsters destroying lives, harming parents/little ones
The people pushing guns are monsters.
Guns kill humans. Do you need to kill humans ?
Do you need to make sure you always have a tool to kill humans never far from your hands ? What kind of human are you ?",1
"Black people smell bad",1
"Bitch ass mother fucking nigger retarded ass cheater weakling sucks ass go die.",1
"Its a cult and left wing movement. Using tranys and gays as an excuse. Just like blm using blacks as an excuse.",1
"17 years ago today 52 lives were lost to Islamic Terrorism perpetrated by people allowed into this country against the wishes of the indigenous people. Today we suffer the constant terrorism of random acts of violence against Whites by these colonisers. #WLM #LondonBombings",1
"There's a delicate balance to gc gender ratios. With too many women, they start clucking around like hens, saying all these words that don't mean anything. Too many guys + they accidentally start creating businesses. There's a sweet spot in the middle where they produce children",1
"#Deadnaming offends mentally unstable people. #EllenPage",1
"you gotta ride the short bus if you get a guys name tatted on you ğŸ˜­",1
"This is pure BULLSHIT!!! While the American people need relief from the worst inflation in over 40 years caused by this administration. They still have the nerve feed & house dirty illegal aliens in luxurious hotels? What special kind of BULLSHIT is that?",1
"beaners are so smelly ğŸ˜®â€ğŸ’¨ go use some deodorant",1
"That watermelon and friend chicken eating nigger bitch right there",1
"I hate niggers and fags",1
"SEND ALL THOES WETBACKS BACK TO WHERE THEY CAME FROM",1
"So if being wary of a religion whose adherents commit mindless acts of violence against non-adherents on a regularly basis is Islamophobia, I'd say Islamophobia is good.",1
"Just remember that the same people who are crying that they can't kill babies anymore are yelling for forced vaccinations, soft sentences for pedophiles, and teaching kids that trans is normal. They are gross, disgusting trash with no morals. Never forget this !",1
"Damn, literally every 11 year old in that TikTok video must be mentally disturbed as well, considering they were obviously having fun.
Or... Maybe you're just retarded. I think that's a lot more likely.",1
"dawg i normally dont like mexicans but i love this fuckin monkey",1
"I FUCKING HATE MEXICANS IF I DIE IT WAS BECAUSE A DIRTY MEXICAN",1
"You liberal democrats out there if really wanted to know the truth you would watch something other than the fake news....like Newsmax lays it all out! God forbid your daughter or wife should get hurt or rapped by one of the many illegals coming here, or possibly murdered! But you",1
"im glad dick never made me retarded maybe a little stupid but not like slow bus material ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­ğŸ˜­",1
"Coon ass niggers bruh damn",1
"You're an idiot I don't support biden either. Mormons aren't christian, they hide in all faith churches to convert people to their disgusting pedo cult.",1
"As a proud attack helicopter I couldn't be happier to finally be recognised",1
"The average I.Q. among Black Americans is 85, which means well over 50% of black Americans have I.Q.'s below 85. Our prisons and jails are filled with them. R. Kelly has an IQ of 79 and is ""functionally illiterate."" #BellCurve #YouCantFixStupid",1
"If I stated there are too many nigger criminals in New York City who would counter that statement and proof of your side?",1
"Now ask yourself this question would you want your children to walk past these children just to get home from school? #WeAreNotTheSame #14W #13Do53 #BellCurve",1
"All pure crap. DNA determines who gets pregnant. Any other argument is merely part of the Leftâ€™s strategy to normalize queers. Parades, holidays NONE of itâ€™s ever going to cause the 95% of the World, which are heterosexual, to get in line to be a queer.",1
"only a retard if youre not brown",1
"the raghead is an immigrant wetback from sandflea-istan. NOT a NJ man. NEW JERSEY MUSLIM man arreste http://pinterest.com/pin/156922368243265511/",1
"The only sucks in this show is when they decided to put retarded LGBTQ+ element. It disgusts me. Especially the Will/Mike, Robin/Chrissy scene, it is CRINGE AF and I've to skipped it. LOL.",1
"Are those things real? It's not another tranny is it.",1
"So you a nigger lover.trash",1
"Oh Shit, you cracked me up with this one wetback.",1
"Every male homosexual is a pedo",1
"Hawley is correct. Trannys are already queer. Its DNA-determined & for life. 95% of the World is heterosexual & NONE are getting in line to be queer. The â€œtrannyâ€ crap is Leftist word-salad hoping to sugar coat & normalize being queer.",1
"@DarenStoic @BedfordForrest1
Wow. I detest jews as much, if not more, than anyone. But I feel like perhaps I read a different bible, maybe?",1
"Spare me raghead. Still havenâ€™t figured out that this a constitutional republic. The power belongs with the states. Not 602 power hungry people",1
"This shitty Raghead has caused enough damage",1
"Let us say it takes an hour to make a batch of cookies. And let us say we have 15 ovens. How many years would it take to bake 11 million batches of cookies?",1
"People who think they are trans are sick and need help. We need more mental hospitals not people helping others to be something that doesnâ€™t existğŸ¥´",1
"yeah ok we are letting illegals in who are fucking rapists but ""THATS NOT A PROBLEM""",1
"I hate Retards",1
"Bitch, I know you're a fucking tranny.",1
"You are correct! Race is a huge issue in this country and leading the racism are blacks and Democrats. Absolutely disgusting but no surprise",1
"love and thunder (thighs) is more like it .. fuck this faggot is gross",1
"im gonna bake 6 million cookies in 4 yrs and noone can stop me",1
"Blacks try not to prove racists are correct challenge
100% impossible",1
"@CNN
@KyungLahCNN
@FoxNews
@tvp_info
@RepublikaTV
There were no Polish death camps, maybe retarded South Korean liar @KyungLahCNN
should invest some time in historical studies, any library would do.",1
"Derranged teacher goes full retard. Home school your children.",1
"Coons, arabs, spics and Jews
Aisans, beaners and kykes
All these races and yet
You only hate on the whites
#fuckfemenism",1
"sometimes i sit here and just wonder why zionists are so physically unattractive. it's very interesting to me how every zionist is just extremely ugly. like actually very unpleasant looking. it's like you have to be horrifically grotesque to be a part of the genocide club.",1
"The jew and the tranny lmao
Neither one of you freaks is worthy of even shining PJW's shoes",1
"I mean trannies don't deserve respect so who cares?",1
"Your time has come #isis cockroaches. There's a new sheriff in town and he ain't the queer black guy with his band of sissys. They're gone.",1
"Obviously. From 2020 to 2021 more blacks were murdered. Imagine that, after all the peaceful protest there were more blacks murdered by blacks the next year. Keep drinking that hate. You'll only destroy yourselves in the end.",1
"love island just proves all women are whores iâ€™m afraid",1
"Bc Iâ€™m working u fucking window licker",1
"put a dick on my g17, its a tranny now",1
"Islamic Terrorism is a universal phenomenon",1
"Going to bake 6 million cookies and I think itâ€™s reasonable to say Iâ€™ll be done in around 4 years",1
"Cookie monster didn't bake 6 million cookies",1
"Another nigger killing people. A lynching is in order - whoops Biden signed an order prohibiting lynchings.",1
"Latino's hate White Folks...Stop sucking up to them.. A Race/Civil War is inevitable. Thanks to Khazar Jew Policies created by George Soros & Co.... Looks like America will fall & be broken up to what the Kykes want her to be.",1
"Knock that little porch monkey on his ass. Then do the same thing to the parents",1
"Koalas are just less evolved retarded niggers",1
"This dudes voice is annyoing boot lip nigger #lmfaoo",1
"Trans men and non binary people who are women are women. If they're pregnant they're presumably aware they are women. So why change the wording?",1
"JIGGERBOO NIGGERBOO COLORED COONY
BLACK PORCH MONKEY
BROWN BABOONEYYY
MELON MUNCHER
CHICKEN BONE SUCKER
BLUE BLACK SILVERBACK
BIG SPEAR CHUCKER",1
"@YouthGOPforUSA Obama is a nigger! Niggers are niggers they will never change!!â€ Wow. What wonderful followers you have.",1
"if your a male & you blocking me your a faggy",1
"Iâ€™m giving switcheroos one more chance. I keep getting window lickers for teammates.",1
"Nasty ass tranny cunnnnnnnnnttttttttt",1
"More concerned with dirty illegals rather American citizens. A typical democrat. Time to get these traders out of office and send them back to their barstools. They get involved in everything but their district. Cry for the women who cant leave her apt in Bronx broken elevator",1
"finally no more pride month i hate gays
i was straight and cisgender all along",1
"nigger faggot retard",1
"Repealing Roe is barbaric, stupid and misogynist! What are we, a bunch of fucking Muslims!?'",1
"Funny? Or may be Crazy?
1. Ancient Israel destroyed - ask Steve Jobs - if you can-for it's original site in the LEVANT. (MORONIC JEWS)
2. Ancient Egyptian Civilization-still tracing it's origins.
3. Ancient Indian Civilization-about to be destructed-check with North Koreans.",1
"All spics and niggers have to know theyâ€™re born to serve any white man",1
"Evil Biden stop destroying USA ğŸ‡ºğŸ‡¸ with dirty sick dark illegal aliens stop Take care of poor homeless American citizens FIRST close southern boarders NOW",1
"rip your throat out and shove it up ur ass you stupid ass faggot",1
"The answer to 1984 is 1776 with a decent scoop of 1488.",1
"â€˜TERFâ€™ and proud. I want absolutely nothing to do with this insane, reality-bending circus freak show.",1
"Islamic terrorism is a reality.
Islamophobia is a myth.
Full Stop.",1
"Dumb retarded niggers",1
"The homos are busy molesting our children, conditioning them into waywardness. Those who torture and recruit children into disgusting behavior should be treated with the same.",1
"Can elon buy twitter so i can say tranny faggot and nigger without getting banned",1
"okay fuck you and your bitch now stop texting me retarded ass nigger",1
"Well I identify as a giant, and my pronouns are fee/fi/fo.
You will not believe the amount of feefifobia I have to endure for this.",1
"Donâ€™t forget all the dirty boarder hoppers full of infectious diseases!",1
"Surrounding it with other words and putting a punctuation mark next to it usually helps.
gonna try it now, crossing fingers, nigger, faggot. I hope I don't get banned.",1
"Trans!
Will not!
Replace us!",1
"fucking beaner",1
"Told shorty I didnâ€™t really like Asian people and she was like â€œalright well that was racistâ€ and Iâ€™m like do you not understand Asians are top 2 more racist towards blacks?",1
"I hate Kykes",1
"Lmfao fucking beaners",1
"FUCKING NAZI FUCK KIKES AND THE THIRD AND FOURTH NIGGER FUCK NAZI FUCK REICH KANDISS TAYLOR I HERE YOU LOUD AND CLEAR LETS GET THIS HOLOCAUST 2.0 THE FUCK GOING",1
"Trans are perverts and anyone talking to children about a trans life style is twisted and perverted",1
"@abusidiqu Those dalits should better watch it. How I detest Jews and Indians.",1
"Yo @BarackObama
you a dirty African nigger lover you piece of shit",1
"Fuck SJW
Fuck BLM
Fuck LGBT+
Fuck Feminism
I Hate Twitter 'cuz this is the place where those fucking groups can live.
And remember : THERE ARE ONLY 2 GENDERS. #FUCKBLM #FUCKSJW #FUCKLGBT #FUCKFEMENISM",1
"Eat shit fucking raghead",1
"Stuart Little? More like Ian Stuart.ğŸ˜¤#WPWW",1
"trans are sick. a person can not change their sex",1
"At the risk of sounding completely childish I donâ€™t know how some of you donâ€™t completely detest trans people",1
"#FuckBLM, #Fucktolerance, #fuckfemenism
I say true and It's my opinion, only things what on America and Europe it's chaos, I don't see real femenists in USA, Europe, Ohh sorry there in fucking arabian country where they don't people they things, But they fight rights and die.",1
"@piersmorgan
What would I do with a limey faggot that is scared of words? Beat the living fuck out of him #Totalitarianism @Lantern68",1
"You are a Major sinner and you will go to hell. Dirty homo",1
"All of these niger , raghead, wetback, and chinc terrorist protesters are a bunch of animals that need to be shipped back to their respective countries",1
"left is a man. Also, you should have known he was tranny-loving lefty since he worked with 'Lady' Gaga",1
".......THEIR BS BLOODLINES AND THEIR GOD DAMN KYKES, ( ILLICIT JEWS, LIKE SLAVES AND FREE MASONS , FROM COLONIAL TIMES ), AND TO THIS DAY OPERATE OCCULT PRACTICE AND ANTICHRIST HATE, AND SWEAR AND VOW TO THEIR GOD DAMN RABBIS AND MUSHAS THEIR LIVES AND MONEY / CHILDREN !!!",1
"I hate Niggers",1
"Well kinda sucks I had to delete facebook as they restricted my account for 6 months and I'm tired of that fucking shit. I can't even share meme's with my family without it being labled as mis-information by stupid fucking fb faggot checkers.",1
"It would appear that the race war is finally drawing near. Good. Tired of waiting. RAHOWA! Total WHITE Victory!",1
"Trans are sick weirdos",1
"Can the nigger (Obama) save the dunce (Biden)?",1
"Welcome to the Transpocalypse... it's Tranny Tuesday, reminding you; fake boobs, makeup, & hormones do not make a woman.",1
"I donâ€™t want a raghead or a black as my prime minister",1
"Who the hell cares about anything a liberal tranny shooter does in a liberal stronghold where gay flags outnumbered American flags on the 4th?",1
"The asylum system is stupid, unless they're one of our people trapped overseas, just deport them back to Africa, it's far easier than dealing with them.",1
"Not all pedos are homos but all homos are pedos",1
"It's Friday bitches #WPWW",1
"And you'll always be a nigger lover",1
"Not a shock. All homos are pedos",1
"Anyone who talks against modi's gimmicks will be declared antinational, muslim or Rice bag convert.
Modi supporters are as stupid as madrassa trained katwas or halleluiah xstians. Incapable to think free, devoid of ideas, they operate in clusters like a group of monkeys.",1
"Bruh you think I have something against videogames trans characters? Just real trans people. And also oryx is a hive god, slightly* different from a human lmfao",1
"I detest Christians more then I detest Jews, blacks, & other muds! They're a blemish on the White Race as a whole & shouldn't be tolerated!",1
"faggotğŸ¤®ğŸ¤®ğŸ¤®",1
"If you say men can get pregnant, you just sound like a fuckin retard.",1
"I detest trans people. Techno is a superior form of dans music",1
"Oh SHUT UP that bloody pommie bastard, FFS! #qanda",1
"@lynchlynch15
Marco Belinelli should of stayed in New Orleansâ€¦stupid eyetalian!",1
"Why do you rape suck kids nigger lover",1
"6 million cookies in 4 years? Just not possible to eat all that in such a short time man there aren't even enough ovens for that imagine how long that would take to bake and eat them all",1
"Oh ya,white people have no culture, then who invented slavery. Boo-ya checkmate amputees. #slaverywasachoice #slavery #ham #foreskin #spacejews #spearchucker",1
"@naa_gonee stfu rice eater I didn't ask for your opinion ğŸ˜©",1
"Girls get mad at a gay guy and be quick to yell faggot a lot of you bitches are faggots look at your mannerisms & lingo!!",1
"I'm guessing the Lewis Hamilton edition made it sell for 3/5s the price?",1
"The rape was awesome, the niggers and ugly chinks were not",1
"Its that west faggot psychic shyt tho I was on the movies an shyt own knock it but gay power a mf bro they a hurt chew if u turn down what they b on bro the high ups if they offer u own kno what I'm a boss it's illuminati ppl Kno a syncubus in them ğŸ’‚ğŸ’¯ğŸ˜¤ğŸ’¯ğŸ’¯ğŸŒğŸŒğŸŒğŸŒ ğŸŒğŸŒ",1
"Honestly I kinda wish I could speak Spanish... ğŸ˜©I just don't like the illegal brown people that only speak Spanish",1
"Black Democrat stupidity is on FULL DISPLAY. Makes it easier to understand that EUGENICS was the driving force behind Roe v. Wade. #DeadBlackBabies #LowIQ",1
"Los que comen carne:
Son fuertes Son tÃ­os
Los que son verganos:
Son tÃ­as o en su defecto, maricones
Flojos",1
"I identify as an attack helicopter.",1
"@Cognasty @nick80atohi
SHANE YOUR A FLYING FAGGOT WHAT DONT YOU GET STFU NO ONE LIKES YOU. YOU FUCKIN KYKE",1
"She does tho. But this NiggeRs, I bet got no remorse.",1
"Weather you people like it or not there is only two sexes in this world and you have a problem with that speak to god ! A tranny is just a male that are cross dressers",1
"I'm wheezing ğŸ¤£ğŸ¤£ğŸ¤£
Too many rÃ«tardÃªd Christians roaming about.
@Ekenewilliamz
you and your @pastorwf_kumuyi
should go fÅ¯ck yoursÄ—lveÅ¡",1
"the truth is that Islam is a false religion based on violence and rape. Read your own holy texts!",1
"Yup, Our Ash is entirely responsible for maniac Mohammedans lopping heads off poor bloody Froggie pensioners. The loony machete-weilders were justifiably and understandably provoked. Thatâ€™ll teach us all to respect yer Allah!",1
"Based. Women are property",1
"Women donâ€™t deserve rights lmao",1
"He's not white so he will get off without conviction",1
"It's Aryan, light years better than christianity.
you guys worship a jew popsicle who couldn't save himself.",1
"Whores canâ€™t murder children and we get to carry guns to defend ourselves from basketball Americans. Good day for white Americans",1
"People who think they are trans are sick and need help. We need more mental hospitals not people helping others to be something that doesnâ€™t exist",1
"omg its just a joke nightwing melonmunching porchmonkey chill out",1
"Im not anti semitic, I am just a Critical Semite Theorist (CST) I only advocate for breaking oppressive Jewish supremacist hierarchies, abolishing Jewishness, and turning Israel into a post-national state",1
"The Africanization Of Ireland. our Governments are destroying Europe with these subhumans",1
"...racist cracker comments in 3...2..1",1
"harry el mes pride ya paso basta de ser tan maricon",1
"""I'm sick o deez crackas""
Feelings mutual sheboon......",1
"Another fake propoganda against brothers in arms....chinki porki idiots....last night I serve pig ğŸ– meats to my madrassachap friends",1
"Times new Roman wasnâ€™t made until the 1930s.
Niggers continue to spread misinformation",1
"They learned this from there Porch Monkey parents.",1
"Yes I am I am going to unleash hell on you. We will rejoice in the everlasting pit of fire. No your jew/sand nigger god is going to do anything about it.",1
"Religion aside, if you at least have some actual sense of where it all went wrong, the revolutionary movements of the last couple of centuries, then it's time to dissasociate from the absolute f4gg0t larpers that populate this spaces. You know who they are.",1
"Civilised ?? did the white people at Harvard teach you that word chaiwala.. you are nothing but a porch monkey!!",1
"Elon isnâ€™t buying twitter, guess we canâ€™t say faggot anymore ğŸ˜¢",1
"I CANNOT BELIEVE THAT YOu NuMBSKuLLED ASSHOLES DIDN'T TELL ME ABOuT THE WORD FAGGOT. YOu LET ME MAKE A FuCKING FOOL OF MYSELF. CALLING JAKE A JuICY-RuMPED FAIRY AND A BLuBBERING CRYBABY. INSTEAD OF THE TITLE HE SO RICHLY DESERVES. THAT TITLE IS FAGGOT. FuCKING OBVIOuSLY.",1
"A tranny liked my account on tinder, I might actually kill my self. Seriously thinking about hate tweeting about this troon.",1
"Bloody trans.....",1
"Me (a liberal) in 2014: If you force me to choose between pro-white racism and anti-white racism, I'll obviously choose pro-white racism.
Me in 2022:
1488 RaHoWa GTKRWN
Tons of non-white Nazi frens wtf lmao",1
"The mental image of your little sister getting raw dogged by one of these demonic arab hell beasts",1
"your koran is nonsense, rip it up shit on it & throw it on a fire",1
"Transfag found my latest nigger tweet it might be over",1
"27 Democrats would rather Supreme Court justices be gunned down by lunatic leftists then give them an ounce of protection. Vote these communist bastards out of office. Especially that stupid raghead who sleeps with her brother.",1
"@nidhi
this idiot is not Chinese diplomat, he is a â€œchinkiâ€ diplomat or a slit eye diplomat",1
"Black lives splatter ğŸ˜‚ğŸ˜‚
http://m.imgur.com/R8DxKMY",1
"Ya salio un pato loco a defender lo indifendibile t pregunto q hicieron esos maricones q estaban alli para decirle a esos enfermos q eso no se hace son todos iguales",1
"I hate fucking niggers",1
"Was a great season until the tranny actor. I felt so dirty after I figured it out...",1
"@bjpenndotcom
gsp is a faggot froggie piece of coward shit.",1
"Always the darker pigmented women.",1
"HITLER NIGGERHITLER NIGGERHITLER NIGGERHITLER NIGGERHITLER NIGGERHITLER NIGGERHITLER NIGGERHITLER NIGGERHITLER NIGGERHITLER NIGGERHITLER NIGGERHITLER NIGGER",1
"Aggressive primitive attacks elderly White shop worker, thinking he would be a weak and easy target to pick on. Elderly White man defends himself, violent primitive aggressor ends up dead. Reason to hold on to your guns especially now with open borders.",1
"I use the n word at least 10 times before I get out of bed",1
"So my Uber driver whose name is ""bittu"" refused to eat prashad that I offered, citing that he worships Jesus Christ. Matlab, hindu naam chalta par prashad nai. Stupid rice bag!",1
"#thingsbetterthanSOPA jews.... And i detest jews",1
"Full day of suppressed frustration busted out in the form of road rage on the way home from work. Some fucking nog wearing a mask cut me off and break checked me while merging into the next lane. Womanâœ…
Maskâœ…
NÃ®ggÃªrâœ…âœ…âœ…",1
"your traditional clothing looks like this, why glorifying it? Cuz you know itâ€™s too shameful to not cover womenâ€™s t*ts too? We have 56 ethnic groups, a diverse culture that u donâ€™t understand, stupid kimchi eaters",1
"Never met an anticatholic that isn't some massive degenerate homo",1
"lmao owned nigger",1
"140 IQ White American with no miscegenation in his blood:
""So basically-""
80 IQ Britbong with an Indian grandpa:
""YOU'RE NOT WHITE! MUTT!""",1
"I hate niggers, spics, Kykes, zipperheads, smelly goat fuckers and your mom's used up vagina",1
"I often wonder what could be worse than a 'Zombie Apocalyst,' then it dawns on me a ton of BLM terrorists ""A-pack-a-lips'.",1
"I sexually identify as an attack helicopter... doesn't mean I can fly.",1
"I'm a traditionalist, I believe in traditions such as lynching",1
"Bro the tr*nnies at the fbi are already watching you in the shower",1
"I hate faggots",1
"Just take out all the black violent crime and we have a very safe country. It's not just the United States. It's a black thing. #LowIQ",1
"Average fag Minecraft YouTuber",1
"man why is everybody here a retard",1
"You faggots leave her alone. Sheâ€™s not dating this 44 yr old man. If you really wanna talk shit about our hyunjin square up. Iâ€™m gonna crush your skills and twist your nipples off. Stupid whores. You will pay for this. #hyunjinkills",1
"Trans are perverts by definition",1
"Your obsession with Trannys is disgusting.",1
"We tried the last election, then came along raghead",1
"Black lives don't mean more than a pile of cow shit to me.",1
"Do brown ppl not smell themselves? Like fr",1
"Non-Christian women are just murderous demons in skin suits, you can't prove me wrong.",1
"only a h o mo se xual would have trouble understanding this basic logic. lol",1
"I am a old southern man who believes in calling a spade a spade,and justice Clarence Thomas is a nigger and his wife is a nigger lover and would not dare to campaign in Alabama",1
"The dirty sons of bitches have been cheating and lying for 40 years! Investors stand the last penny for their private wealth! Dirty smelly fucking Jews! $opk $cocp $vbiv #RaymondSchinazi #PhillipFrost #BarryHonig #DavidMintz #SabbyManagement",1
"NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER NIGGER I'm not a big fan of the jews NIGGER NIGGER",1
"If the negro had the intelligence, initiative, and resources to run a slave trade, they would have. And it would have been considerably more barbaric than the transatlantic slave trade. #wpww #slavery #blackhistorymonth
7:15 PM Â· Jan 31, 2022Â·Twitter for iPhone",1
"Muh 6 trillion, diversity is our strength, war is good, Muslims did 9/11, Israel is your friend, we're poor victims, you're anti-Semitic, whites are evil, you're all free.",1
"No one I JUST WANT HEIZOU I DONT WANT THESE STUPID GAYS!!!!!!! and this child",1
